sensitive-attribute,Y,scores,D,dis
0,0,0.05577119739725928,0,1.0
0,0,0.21022907656942041,0,1.0
0,0,0.07621778372945005,0,1.0
5,1,0.016950906015044828,0,1.0
1,0,0.024276637684534197,0,1.0
1,0,0.08224150609578926,0,1.0
0,0,0.192312949187068,0,1.0
0,0,0.06604652487438908,0,1.0
7,0,0.002236725483909147,0,1.0
0,0,0.03554509274475671,0,1.0
1,0,0.06076287358948012,0,1.0
0,0,0.0922370810275777,0,1.0
0,0,0.08776503737059305,0,1.0
1,0,0.007188154158555372,0,1.0
0,0,0.017574092117289858,0,1.0
0,1,0.09285378390689887,0,1.0
0,0,0.28999390851381135,0,1.0
1,1,0.06745672925490608,0,1.0
0,0,0.011176839002096253,0,1.0
0,0,0.051034037279009015,0,1.0
0,0,0.043145993539133086,0,1.0
0,0,0.056534546235523675,0,1.0
0,0,0.031934060000163904,0,1.0
0,1,0.14974251938179647,0,1.0
0,0,0.10920089770274115,0,1.0
0,0,0.022943393516411757,0,1.0
0,0,0.010741525062690145,0,1.0
0,0,0.14288549439423714,0,1.0
0,0,0.04000193131483007,0,1.0
1,0,0.061427067888052515,0,1.0
5,0,0.024489576157136563,0,1.0
1,0,0.10701766858365788,0,1.0
0,0,0.09276522168334828,0,1.0
0,0,0.02936209016043035,0,1.0
0,0,0.018252270197299438,0,1.0
0,0,0.05440232683305353,0,1.0
0,0,0.13036943649732446,0,1.0
0,0,0.11267930525514448,0,1.0
0,0,0.023919641053577446,0,1.0
0,0,0.028932066741457964,0,1.0
0,0,0.04686588659438784,0,1.0
0,0,0.005066717796512174,0,1.0
0,0,0.01580199355950955,0,1.0
1,0,0.004337681412269415,0,1.0
0,0,0.005592895916649878,0,1.0
0,0,0.09255098049967822,0,1.0
1,0,0.021248657564578718,0,1.0
1,0,0.022127209273058626,0,1.0
0,0,0.03443259694839782,0,1.0
1,0,0.03086572781331127,0,1.0
0,0,0.017372336270490157,0,1.0
0,0,0.02913354415744971,0,1.0
0,0,0.030639928703404085,0,1.0
0,0,0.06364803349007521,0,1.0
0,0,0.131104393781282,0,1.0
0,0,0.01717358819053655,0,1.0
1,0,0.029420280263865728,0,1.0
